# $Id$
# $Rev$
# $LastChangedBy$
# $LastChangedDate$
#
# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    (bt <= 15.5 and objtype='G' and logd25 between 1.0 and 2.5) 
# OR (objname in ('PGC008328', 'PGC008340', 'PGC008330'))
#
# Display the fields:              objname as NAME,al2000*15 as ra,de2000 as dec, logd25, logr25, pa, bt
# Order by:                        al2000
# Description of each column
# objname as NAME: ----- Object name
# al2000*15 as ra: ----- Right ascension (deg)
# de2000 as dec: ------- Declination (deg)
#  logd25: ------------- Log10 diameter (0.1 arcmin) at mu=25 mag/asec^2
#  logr25: ------------- Log10 major-minor axis ratio
#  pa: ----------------- Position Angle
#  bt: ----------------- Total B-band magnitude
#-----,---,----,-------,-------,---,---
# name, ra, dec, logd25, logr25, pa, bt
#-----,---,----,-------,-------,---,---
UGC02559,47.3263695,42.971842,1.336,0.509,47.5,14.449
UGC02519,47.3302485,80.1310663,1.149,0.209,76,14.222
PGC011800,47.379861,-4.9121415,1.209,0.37,160.5,15.29
IC1895,47.4009165,-25.2535833,1.146,0.123,164.39,14.176
UGC02563,47.4038865,18.5006945,1.167,0.674,17.63,15.419
ESO300-014,47.409333,-41.0320833,1.647,0.459,168.97,13.063
NGC1234,47.412828,-7.8459281,1.198,0.282,119.45,15.238
PGC170042,47.4222915,-4.5873611,1.031,0.426,85,15.49
IC0290,47.4280725,40.9741506,1.093,0.59,129.29,15.432
NGC1232,47.439399,-20.5790414,1.832,0.071,102.23,10.565
PGC011823,47.4612495,-11.9742361,1.04,0.47,139,15.11
PGC213171,47.4658755,42.2535833,1.29,0.36,8,14.81
PGC011824,47.4688335,-10.0495278,1.154,0.492,135.25,14.59
ESO417-019,47.491854,-31.1398333,1.029,0.141,142.76,14.685
NGC1249,47.505168,-53.3357089,1.561,0.403,83.28,12.179
PGC2207070,47.5351845,42.8302059,1.07,0.14,101.5,15.29
IC0292,47.55396,40.7657364,1.077,0.263,73.2,14.184
ESO199-022,47.56527,-49.819691,1.017,0.257,2.02,15.341
IC1898,47.5829535,-22.4045811,1.564,0.749,73.18,13.624
ESO357-007,47.601108,-33.1541644,1.11,0.44,129.88,14.674
PGC2206500,47.6127,42.8022,1.05,0.24,106,15.04
NGC1238,47.7193755,-10.7479444,1.184,0.105,109.26,14.328
NGC1239,47.7237915,-2.5532222,1.091,0.185,58.88,14.608
IC0293,47.7339585,41.1370833,1.02,0.14,108.5,15.476
PGC976258,47.7392085,-10.5966111,1.12,0.62,48,15.41
PGC011876,47.7596355,-2.4277555,1.108,0.529,31.83,15.3
NGC1226,47.772291,35.3868056,1.09,0.117,102.85,14.469
NGC1224,47.806458,41.3637222,1.132,0.119,179.5,15.425
NGC1241,47.810943,-8.9220781,1.431,0.255,147.69,13.029
NGC1242,47.830383,-8.902346,1.025,0.295,134.2,14.32
PGC011902,47.890656,-10.6097225,1.124,0.58,124.33,14.92
UGC02585,47.947785,-0.4029824,1.148,0.121,162.97,14.312
IC1899,48.054666,-25.3048611,1.121,0.535,161.47,14.393
NGC1247,48.0596505,-10.4810122,1.55,0.834,69.6,13.468
ESO481-009,48.0762495,-24.6204306,1.046,0.129,123.06,14.7
ESO003-014,48.077757,-83.1231414,1.143,0.335,93.94,15.22
ESO481-011,48.1031535,-24.5463406,1.186,0.812,12.36,15.475
PGC011943,48.109584,19.2461111,1.003,0.331,82.5,15.013
NGC1233,48.137916,39.3186971,1.179,0.514,28.66,14.005
PGC011963,48.1764585,-17.1142083,1.048,0.544,12.25,15.21
ESO417-020,48.20208,-31.4863584,1.134,0.19,,15.216
NGC1248,48.2022945,-5.2246978,1.084,0.06,95.83,13.531
PGC127958,48.2091045,-58.1580833,1.009,0.15,25.32,14.91
IC0302,48.213666,4.7069722,1.264,0.184,35.91,13.601
PGC011975,48.224709,-2.9016528,1.083,0.208,107.67,14.5
ESO547-020,48.2403045,-17.9298682,1.008,0.148,61.29,15.39
ESO116-012,48.269751,-57.357181,1.555,0.69,26.8,12.97
PGC074302,48.2866875,-2.7219709,1.052,0.55,165.5,15.44
ESO417-021,48.315891,-31.65307,1.049,0.198,157.78,14.171
PGC012003,48.350928,-8.2124595,1.058,0.63,70.93,14.998
UGC02596,48.3718875,44.1313944,1.189,0.362,17.33,14.415
NGC1255,48.3833025,-25.7252289,1.607,0.257,118.12,11.601
ESO481-014,48.419211,-25.1896973,1.679,0.844,166.59,13.882
IC0307,48.438366,-0.2414565,1.203,0.425,67.23,14.504
NGC1256,48.493119,-21.9864351,1.052,0.439,107.12,14.512
NGC1258,48.522813,-21.7742361,1.15,0.134,19.95,13.954
UGC02598,48.5351445,41.2920566,1.08,0.243,23.12,15.092
UGC02607,48.536958,-1.6362778,1.088,0.129,64.8,14.733
NGC1253,48.538872,-2.8223591,1.66,0.39,84.3,12.249
UGC02602,48.5419995,16.4854167,1.115,0.012,,14.928
PGC012048,48.5735985,46.030951,1,0.29,113,15.26
PGC130268,48.59046,-45.420329,1.09,0.2,51.58,14.75
NGC1253A,48.5986515,-2.8004046,1.005,0.185,90.33,14.229
PGC012068,48.659667,-4.7739167,1.312,0.117,95,14.197
IC0301,48.69882,42.2226456,1.1,0.053,176.88,14.949
IC1904,48.7532085,-30.7080278,1.138,0.35,101.98,14.417
IC0304,48.755667,37.8817778,1.024,0.212,29.16,14.744
IC1908,48.7713225,-54.818913,1.089,0.255,67.71,14.804
UGC02614,48.82458,42.696335,1.271,0.469,89.6,14.7
NGC1250,48.8379165,41.3554167,1.368,0.463,157.67,13.968
PGC012117,48.942402,-12.0243456,1.264,0.613,28.6,14.79
ESO116-014,48.959874,-58.5741894,1.259,0.731,55.92,15.01
PGC012130,49.002234,-5.499283,1.27,0.573,12.64,13.83
UGC02617,49.0031295,40.8857478,1.223,0.393,179.74,14.315
NGC1266,49.0032315,-2.4273468,1.169,0.173,102.94,14.386
UGC02618,49.0040805,42.0742912,1.096,0.318,166.64,14.85
PGC012139,49.0228875,-13.0346838,1.157,0.729,22.13,15.16
IC1906,49.023606,-34.3607439,1.081,0.372,63.58,14.455
IC0309,49.0262085,40.8044722,1.007,0.027,,14.812
UGC02619,49.065834,41.18075,1.063,0.094,3.5,15.391
UGC02621,49.108986,41.5304089,1.166,0.38,66.4,14.619
UGC02628,49.132686,-0.4681234,1.187,0.608,124.77,14.862
PGC012169,49.1637285,-43.8546266,1.02,0.22,19.5,15.01
IC0310,49.1791215,41.3248405,1.175,0.024,,13.864
NGC1184,49.187589,80.793378,1.549,0.608,169.36,13.099
ESO357-012,49.2222405,-35.5413629,1.24,0.1,117.76,13.936
UGC02627,49.2447495,31.5672778,1.14,0.064,129.5,14.888
PGC012193,49.2650865,41.6336661,1.05,0.2,3.5,14.899
ESO481-017,49.2685005,-22.8666389,1.257,0.039,,13.224
NGC1288,49.305021,-32.5758611,1.366,0.132,178.2,12.852
NGC1291,49.327476,-41.1079941,2.048,0.051,156,9.417
IC1909,49.3333575,-33.690128,1.096,0.264,59.56,14.524
PGC012217,49.3485015,-39.258002,1.09,0.369,152.75,14.705
NGC1260,49.3633335,41.4051111,1.11,0.415,85.67,14.298
ESO155-014,49.383708,-54.3579444,1.071,0.045,166.52,14.377
UGC02649,49.4019585,-1.8186944,1.055,0.083,36.5,14.585
PGC012243,49.430043,42.3850745,1.07,0.31,168.64,15.458
NGC1284,49.4397495,-10.2890833,1.271,0.184,,14.356
UGC02639,49.460127,41.9676197,1.123,0.49,89.77,15.438
NGC1285,49.4725515,-7.2977813,1.201,0.258,8.13,13.591
NGC1264,49.4981745,41.5203099,1.001,0.053,59.08,15.24
IC0312,49.5349095,41.7543566,1.077,0.324,124.78,14.641
NGC1292,49.562106,-27.6103661,1.467,0.387,8.37,12.822
NGC1265,49.5653235,41.8575695,1.279,0.066,165,13.04
NGC1313,49.5655215,-66.4978677,2.044,0.083,26.85,9.647
ESO481-018,49.6367145,-25.8356518,1.462,0.463,41.47,13.697
UGC02654,49.679757,42.3003156,1.154,0.4,179.2,14.521
NGC1267,49.686825,41.4676457,1.05,0.117,57,14.084
UGC02655,49.68876,43.2397708,1.22,0.388,177.65,14.009
NGC1289,49.7075835,-1.9733333,1.243,0.243,97,13.488
UGC02659,49.7222805,40.595822,1.113,0.492,63.16,14.938
NGC1270,49.7423475,41.4699989,1.023,0.034,,14.218
PGC012368,49.77927,-11.3365669,1.084,0.212,34.5,15.48
PGC127984,49.7889585,-61.5143889,1.118,0.161,95.73,14.63
UGC02661,49.799208,39.4433333,1.044,0.47,147.25,14.641
NGC1297,49.809348,-19.1000626,1.38,0.077,5.53,13.09
PGC012381,49.8107505,41.1414167,1.15,0.34,37.5,15.3
PGC012379,49.8237705,-12.1027778,1.09,0.196,160.29,14.43
NGC1272,49.838904,41.4905156,1.406,0.31,76,12.958
IC1914,49.85553,-49.5997584,1.29,0.13,109.42,13.463
IC1913,49.8940185,-32.4650679,1.299,0.684,148.79,14.435
NGC1300,49.921083,-19.4111944,1.775,0.289,101.84,11.208
NGC1275,49.9510875,41.5115451,1.334,0.172,110,12.605
NGC1302,49.9627635,-26.0605611,1.63,0.039,,11.593
PGC012437,49.970667,41.3022778,1.03,0.17,104,15.3
PGC012439,49.9743825,-3.5939184,1.228,0.74,0,15.46
NGC1278,49.975728,41.5631945,1.155,0.04,,13.603
UGC02677,49.988334,3.5901111,1.13,0.57,120.8,15.125
UGC02673,50.006856,41.2511669,1.151,0.143,133.73,15.196
UGC02679,50.015802,1.3614764,1.247,0.629,116.37,15.304
NGC1313A,50.023899,-66.7011379,1.096,0.579,29.6,14.73
NGC1311,50.028945,-52.1855357,1.505,0.614,37.05,13.401
NGC1299,50.0403435,-6.2619729,1.081,0.257,48.91,13.598
NGC1282,50.050773,41.3669434,1.144,0.114,26.66,13.871
NGC1298,50.0545005,-2.1141667,1.015,0.051,67.5,14.901
UGC02620,50.071875,80.2462778,1.022,0.109,161,15.445
PGC012494,50.1046695,42.5471221,1.11,0.17,29.91,15.152
NGC1301,50.147265,-18.7152988,1.377,0.668,140.48,14.133
ESO155-020,50.1614685,-54.2958643,1.132,0.306,80.03,14.579
ESO481-022,50.168073,-22.9314381,1.065,0.195,54.85,14.809
NGC1303,50.1700335,-7.3944187,1.048,0.143,19.76,14.729
UGC02690,50.1789825,-1.1086054,1.133,0.401,146.71,14.564
IC0318,50.1826245,-14.5682222,1.035,0.384,134.33,14.72
UGC02685,50.2179525,38.2535972,1.153,0.259,86.37,15.039
IC0313,50.241222,41.8938359,1.099,0.157,42.13,14.785
NGC1306,50.262582,-25.5125491,1.041,0.237,158.56,13.757
NGC1310,50.264241,-37.1016795,1.325,0.127,97.19,12.57
NGC1304,50.303292,-4.584,1.125,0.279,59.02,14.395
UGC02688,50.3329425,41.9319302,1.027,0.13,,15.03
NGC1305,50.345667,-2.3168611,1.125,0.154,117.27,12.903
ESO248-012,50.3687505,-43.5844444,1.085,0.401,139.1,14.94
PGC012596,50.392554,41.5061224,1.081,0.405,112.24,15.454
NGC1294,50.4164625,41.3602661,1.14,0.104,166.5,14.337
PGC012619,50.474313,-12.3785139,1.02,0.305,59.66,15.36
PGC170047,50.4837705,-3.1077917,1.06,0.53,159,15.385
PGC012612,50.485158,-51.3265809,1.037,0.19,144.5,15.15
UGC02698,50.5122855,40.8638345,1.057,0.063,110,14.338
NGC1309,50.5273125,-15.4000556,1.378,0.028,,11.959
ESO548-002,50.5685745,-20.7678662,1.024,0.253,53.46,15.386
PGC012633,50.572836,-7.090689,1.08,0.29,113.78,14.313
NGC1308,50.618916,-2.7570833,1.059,0.123,87.66,14.7
NGC1314,50.671542,-4.1865278,1.166,0.052,50.78,14.86
NGC1316,50.674956,-37.208308,2.129,0.242,49.65,9.409
NGC1317,50.6844405,-37.1038055,1.486,0.075,69.31,11.85
UGC02700,50.724096,42.5534647,1.166,0.525,131.03,15.312
ESO301-009,50.729772,-42.1896218,1.286,0.696,80.71,14.235
PGC012664,50.7298545,-11.2033889,1.306,0.242,140.43,14.86
UGC02702,50.730417,37.03325,1.19,0.057,41,15.422
ESO248-014,50.7557265,-42.6032669,1.006,0.182,152.51,15.05
NGC1315,50.777481,-21.3751746,1.21,0.081,161.34,13.65
PGC012684,50.8918335,-16.7798056,1.134,0.334,142.5,14.84
ESO357-025,50.9052435,-35.7784111,1.12,0.431,28.02,15.003
NGC1316A,50.90802,-36.9040107,1.018,0.256,63.25,14.668
ESO548-005,50.945916,-19.7534444,1.172,0.021,,13.992
UGC02708,50.9535225,40.5577986,1.033,0.029,,15.359
UGC02709,50.973417,38.6770833,1.202,0.445,3,14.712
ESO301-011,50.976765,-37.5078713,1.11,0.091,,13.747
NGC1326,50.9849175,-36.4645338,1.631,0.164,67.13,11.399
NGC1319,50.9852685,-21.5278148,1.164,0.313,28.82,13.936
PGC012711,50.9867505,37.9514722,1.02,0.42,77,15.5
UGC02710,50.993583,37.7556389,1.158,0.046,5,14.92
ESO003-015,51.027771,-84.1603472,1.133,0.52,76.51,14.8
NGC1325,51.10659,-21.543958,1.635,0.458,53.82,12.252
IC0321,51.1234785,-14.9854722,1.013,0.033,,14.79
NGC1325A,51.202083,-21.3365278,1.279,0.029,,13.402
NGC1320,51.202917,-3.0422778,1.27,0.435,137.33,13.333
ESO116-018,51.220968,-60.738268,1.172,0.601,91.13,15.135
NGC1322,51.227958,-2.9192222,1.048,0.144,98.28,14.345
UGC02720,51.232704,39.12902,1.037,0.622,88.8,15.442
NGC1316C,51.2435835,-37.0094861,1.167,0.358,84.15,14.286
NGC1324,51.2569875,-5.7458323,1.375,0.538,140.68,13.401
PGC012776,51.2706045,-12.3079444,1.033,0.317,129.75,14.93
NGC1326A,51.2870415,-36.3628525,1.323,0.196,62.24,14.046
ESO301-014,51.314583,-39.8972222,1.15,0.33,13.41,15.02
NGC1326B,51.332646,-36.3854139,1.588,0.314,130.4,13.682
NGC1327,51.346785,-25.6789743,1.056,0.457,175.17,15.475
PGC012798,51.3539085,-16.2331044,1.428,0.834,9.83,15.33
IC1933,51.416166,-52.7854722,1.356,0.275,54.13,12.93
ESO481-027,51.4358745,-26.3880833,1.027,0.129,14.55,14.848
UGC02730,51.468204,40.7485987,1.242,0.821,127.43,15.205
IC0320,51.4964925,40.7887033,1.049,0.088,99,15.34
ESO548-014,51.5041215,-17.6572935,1.168,0.713,78.79,14.878
IC1919,51.509343,-32.8945051,1.237,0.202,84.48,13.787
NGC1329,51.510771,-17.5915139,1.2,0.095,33.45,13.486
UGC02733,51.512889,41.2523017,1.005,0.17,92.51,15.171
IC1935,51.555396,-50.0104444,1,0.148,66.66,14.636
PGC170049,51.5637915,-4.317625,1.04,0.13,111.5,14.98
NGC1332,51.57177,-21.3353431,1.725,0.141,121.49,11.198
PGC012839,51.5746245,-4.7353889,1.114,0.478,13.59,15.35
UGC02736,51.6149415,40.5079179,1.221,0.723,69.57,14.609
NGC1336,51.634146,-35.7135417,1.295,0.146,14.55,13.154
PGC012854,51.6781875,-35.0404861,1.062,0.179,37.61,15.215
ESO031-014,51.721146,-72.9357286,1.05,0.553,56.87,15.17
PGC012868,51.7445325,72.85621,1.295,0.696,169.49,15.2
ESO358-005,51.8188005,-33.4858348,1.171,0.153,97.7,14.667
ESO358-006,51.8251485,-34.526429,1.166,0.281,30.53,13.951
PGC012880,51.8368755,-13.7484167,1.153,0.627,122.67,15.08
IC1928,51.8715795,-21.5601924,1.249,0.584,30.06,14.13
ESO548-021,51.898104,-21.2282132,1.29,0.714,69.01,14.729
UGC02748,51.9758745,2.5616389,1.095,0.204,156.83,14.903
NGC1341,51.9932895,-37.1500071,1.153,0.122,120.74,12.932
PGC012914,52.0146255,-4.81825,1.029,0.38,23.33,14.67
NGC1337,52.024791,-8.3884167,1.694,0.577,151.06,12.441
NGC1339,52.0274205,-32.2860883,1.303,0.136,172.1,12.524
PGC012920,52.050465,-5.1919125,1.077,0.52,85.5,15.08
ESO548-023,52.0604595,-17.4197564,1.06,0.335,21.2,14.855
NGC1340,52.081809,-31.0681613,1.709,0.215,167.2,11.218
NGC1351A,52.2030915,-35.1781862,1.397,0.586,129.36,13.815
NGC1338,52.227489,-12.1533534,1.116,0.021,,14
ESO548-025,52.2527745,-22.1465746,1.117,0.258,85.64,14.913
UGC02755,52.349409,39.7922826,1.119,0.17,47,14.894
NGC1345,52.3820055,-17.7783803,1.128,0.085,30.28,14.327
PGC012981,52.3891245,-15.2381111,1.317,0.25,98.25,15.35
NGC1347,52.4240145,-22.2792623,1.154,0.047,162.8,13.768
ESO358-010,52.429377,-33.5575716,1.236,0.281,60.87,14.621
PGC012995,52.4607585,-52.5798299,1.03,0.136,27.44,15.09
PGC012997,52.471344,-52.5151425,1.101,0.31,93.01,14.94
PGC013007,52.482321,-28.7677683,1.068,0.141,163.45,13.978
NGC1334,52.507644,41.8320947,1.095,0.385,118.39,14.732
PGC013005,52.5396975,-5.5216961,1.16,0.638,152.53,15.182
UGC02761,52.541562,38.4527406,1.092,0.6,45.2,15.332
NGC1346,52.555299,-5.5433551,1.159,0.43,83.6,13.753
PGC013016,52.570407,-14.0221221,1.09,0.617,75,15.28
PGC013014,52.580166,-4.2425833,1.004,0.118,104.45,14.005
NGC1351,52.6457355,-34.8539675,1.528,0.189,139.05,12.44
ESO548-028,52.6499085,-17.9409138,1.123,0.211,171.99,14.233
IC0326,52.652583,-14.4255278,1.052,0.127,100.98,15.41
NGC1356,52.669833,-50.3096111,1.07,0.061,166.62,13.837
ESO548-029,52.696521,-21.0582222,1.099,0.172,94.91,14.248
IC1949,52.720125,-47.97925,1.073,0.133,16.35,13.714
PGC130250,52.7570625,-44.6785556,1.045,0.322,108.67,15.43
IC1950,52.7687715,-50.4334306,1.194,0.573,153.47,15.052
NGC1350,52.783584,-33.6283611,1.714,0.299,10.7,11.168
PGC013058,52.784442,-36.2901155,1.018,0.191,144,14.614
PGC013061,52.785297,39.6291682,1.044,0.182,54,15.301
PGC013065,52.8000825,43.904333,1.029,0.13,22,14.28
UGC02770,52.8264585,35.4663056,1.042,0.21,92.27,15.185
ESO482-001,52.829583,-26.5617778,1.202,0.602,45.82,14.812
UGC02771,52.848885,39.7415609,1.12,0.524,10.75,15.282
PGC013084,52.8533175,-35.3310249,1.089,0.149,147.75,14.563
ESO418-008,52.878057,-30.2132041,1.079,0.142,146.45,13.878
IC1954,52.8807915,-51.9048611,1.476,0.242,60.85,12.133
NGC1352,52.887375,-19.2784444,1.061,0.188,127.68,14.288
ESO482-002,52.909917,-25.0080833,1.053,0.133,81.01,14.77
PGC013097,52.9485405,-35.0518564,1.066,0.129,80.5,15.301
ESO418-009,52.9820475,-31.3382803,1.107,0.076,106.54,14.128
ESO083-006,52.999209,-62.5691944,1.056,0.288,102.58,14.98
NGC1353,53.012349,-20.8189344,1.561,0.395,138.32,12.357
UGC02773,53.0303295,47.7940585,1.031,0.105,130.5,14.943
IC0330,53.033409,0.3533902,1.007,0.504,72.95,14.982
ESO548-032,53.0807235,-17.7186489,1.134,0.468,141.62,15.229
ESO548-033,53.1192495,-18.9485,1.176,0.309,109.95,14.206
NGC1354,53.1223545,-15.2211111,1.419,0.43,147.5,13.46
IC1960,53.1373605,-57.2065723,1.052,0.624,110.77,15.21
ESO249-001,53.222457,-42.3949188,1.114,0.644,3.13,14.883
ESO548-034,53.2400655,-21.0894269,1.083,0.07,121.32,14.327
ESO482-005,53.258958,-24.1327778,1.329,0.818,74.18,15.47
ESO358-015,53.2780005,-34.8069167,1.028,0.09,0.96,15.463
IC1959,53.3026245,-50.4142708,1.484,0.628,148.31,13.193
NGC1357,53.321187,-13.6641389,1.527,0.12,76.31,12.406
NGC1355,53.3479395,-4.9987152,1.238,0.742,77.33,14.155
IC1952,53.3611935,-23.7127888,1.412,0.673,140.08,13.522
ESO548-035,53.372292,-18.1467006,1.14,0.036,,13.492
PGC129460,53.4005925,-50.5671551,1.12,0.14,8,14.25
NGC1365,53.4016665,-36.1405075,2.08,0.292,23.51,10.359
NGC1358,53.415417,-5.0895417,1.328,0.26,,13.198
IC1953,53.4244995,-21.4786111,1.355,0.28,124.09,12.39
NGC1359,53.448852,-19.4920265,1.164,0.08,109.31,12.717
PGC013200,53.455374,-10.2508149,1.118,0.57,154.33,14.91
ESO548-040,53.4638655,-21.4554494,1.17,0.205,127.94,14.739
NGC1362,53.4711255,-20.2824583,1.113,0.043,,13.776
NGC1366,53.4735795,-31.1941097,1.311,0.34,3.54,12.797
PGC013201,53.4924165,-59.9366667,1.06,0.128,10.53,13.91
PGC013199,53.499618,-16.3474276,1.18,0.5,89.5,15.23
ESO418-011,53.570007,-30.7325298,1.213,0.149,92.88,14.513
NGC1361,53.5738935,-6.2649599,1.093,0.171,43.75,14.676
UGC02783,53.5765395,39.3566529,1.131,0.17,122.5,13.923
ESO548-044,53.5802055,-19.4243918,1.159,0.425,58.75,14.283
UGC02784,53.58072,39.5455356,1.066,0.116,150.75,14.299
PGC013230,53.622939,-35.5464568,1.102,0.106,175.99,14.52
PGC013229,53.633646,-4.8107361,1.048,0.097,165.69,14.49
ESO548-047,53.6811345,-19.0289514,1.428,0.617,72.87,13.746
ESO358-020,53.7387075,-32.6399801,1.138,0.273,160.74,14.497
NGC1368,53.745417,-15.6560556,1.062,0.368,119.07,15.23
NGC1373,53.7466575,-35.171106,1.078,0.022,,14.115
NGC1367,53.755542,-24.9332222,1.688,0.175,134.47,11.591
PGC2726819,53.771709,69.0346944,1.02,0.15,46.5,15.17
ESO155-054,53.776875,-55.0921389,1.039,0.322,176.63,15.31
NGC1370,53.8108275,-20.3736845,1.174,0.244,50.11,13.537
NGC1374,53.8190985,-35.2263035,1.46,0.033,,12.007
NGC1375,53.820087,-35.2656484,1.358,0.359,89.82,13.174
ESO358-022,53.834631,-32.6022234,1.18,0.053,98.65,13.82
ESO548-049,53.8682025,-21.2176352,1.017,0.302,117.9,15.36
IC0335,53.879325,-34.4471192,1.418,0.513,82.85,12.989
ESO358-025,53.888022,-32.464894,1.241,0.235,58.15,13.824
IC1962,53.9060565,-21.2917961,1.352,0.656,1.38,14.756
NGC1379,54.015951,-35.4412325,1.425,0.019,,11.84
ESO482-011,54.072438,-25.6047083,1.19,0.511,62,15.141
NGC1380,54.114948,-34.9760931,1.661,0.315,6.23,10.891
IC1970,54.1313925,-43.9568499,1.476,0.593,74.91,12.931
NGC1381,54.1321515,-35.295159,1.405,0.421,139.3,12.422
NGC1377,54.1627575,-20.9020103,1.317,0.34,92.17,13.491
NGC1369,54.1884135,-36.2561505,1.346,0.109,9.43,13.694
NGC1386,54.1925415,-35.999249,1.555,0.426,24.6,12.069
NGC1380A,54.197838,-34.7395814,1.441,0.551,175.88,13.291
ESO482-013,54.2244585,-24.91278,1.09,0.419,54.28,15.175
PGC013343,54.226308,-35.3746705,1.03,0.033,,14.807
NGC1387,54.237795,-35.5066298,1.478,0.017,,11.772
IC1980,54.24567,-57.9739317,1.104,0.49,20.93,14.943
PGC013351,54.2732085,-55.0218333,1,0.072,131.88,15.17
NGC1376,54.2746665,-5.04275,1.269,0.015,,12.851
NGC1389,54.2987985,-35.7460455,1.411,0.255,27.7,12.424
ESO418-014,54.302706,-31.9998894,1.014,0.436,27.96,14.964
ESO249-008,54.328584,-43.5861389,1.091,0.18,167.64,14.21
NGC1385,54.3679515,-24.5012406,1.531,0.202,178.33,11.459
ESO200-053,54.375792,-51.2514167,1.083,0.4,162.83,14.68
PGC145722,54.3890985,-6.5204646,1.075,0.201,131.66,14.598
ESO200-054,54.392292,-51.1892222,1.042,0.073,144.74,14.13
PGC013375,54.409797,-15.7121849,1.08,0.095,100.15,14.99
NGC1383,54.4134735,-18.3394171,1.301,0.388,85.31,13.476
ESO482-017,54.430533,-22.9081248,1.124,0.366,134.8,15.335
ESO031-018,54.430791,-72.39175,1.105,0.312,92.99,15
NGC1343,54.456816,72.571352,1.376,0.35,78.75,13.666
PGC013380,54.4625235,-14.8817367,1.115,0.273,93.5,14.825
NGC1390,54.467334,-19.0083333,1.162,0.458,20.86,14.887
PGC013394,54.4953075,-6.2707281,1.096,0.36,66.57,14.51
ESO358-042,54.538266,-34.5185751,1.09,0.304,135.53,15.446
ESO358-043,54.556716,-33.1272222,1.123,0.412,20.74,15.051
PGC013407,54.5674035,-5.6559062,1.012,0.194,175.39,15.442
PGC3103982,54.6141135,-7.3518325,1.382,0.03,,13.316
NGC1399,54.62112,-35.4506257,1.93,0.044,,10.426
NGC1395,54.623766,-23.0274404,1.683,0.074,104.5,10.6
PGC013421,54.637551,-5.4672187,1.112,0.089,155.32,14.731
NGC1393,54.6607155,-18.4279122,1.274,0.189,161.43,13.014
PGC013426,54.663126,-5.3473282,1.162,0.522,79.88,14.961
PGC013424,54.669,9.9699722,1.17,0.31,152,15.1
NGC1411,54.687039,-44.1006641,1.39,0.144,11.68,12.177
ESO482-021,54.6933915,-24.9993632,1.038,0.271,140.78,15.264
NGC1404,54.7163115,-35.5942321,1.7,0.055,163.3,10.891
NGC1398,54.717063,-26.3377639,1.842,0.151,100.35,10.555
NGC1391,54.7207455,-18.3541348,1.082,0.298,65.23,14.379
PGC013443,54.7613655,-3.6270313,1.17,0.278,100.21,14.79
NGC1394,54.7787085,-18.2922066,1.178,0.405,5.24,13.832
NGC1403,54.795291,-22.3885833,1.181,0.053,,13.649
PGC013446,54.796596,-33.5328294,1.028,0.56,43.65,14.318
PGC013447,54.7984035,-33.5308591,1.112,0.186,,15.3
PGC1458669,54.812454,14.4603846,1.02,0.14,164.5,14.85
NGC1401,54.8411025,-22.7247106,1.389,0.433,131.53,13.106
NGC1406,54.847116,-31.3214403,1.653,0.699,16.56,12.419
IC0340,54.8712945,-13.1151074,1.208,0.447,90.25,14.76
NGC1400,54.8785305,-18.6881518,1.448,0.046,42.93,11.931
ESO548-063,54.895023,-20.0148473,1.153,0.654,38.29,15.242
PGC013473,54.9045,41.0835556,1.025,0.24,99,15.305
ESO548-065,55.011291,-19.3665,1.177,0.644,39.53,15.47
IC0343,55.029612,-18.4434619,1.178,0.359,113.21,14.109
NGC1427A,55.038822,-35.6245057,1.355,0.203,84.1,13.399
NGC1407,55.0496505,-18.5804571,1.758,0.036,,10.697
NGC1405,55.0787955,-15.5302571,1.205,0.556,151.8,15.03
ESO548-068,55.0800075,-18.9314811,1.164,0.292,128.89,14.119
NGC1412,55.1223825,-26.8622504,1.026,0.376,133.02,13.634
IC1986,55.1465055,-45.3548763,1.105,0.75,101.76,14.884
NGC1419,55.175514,-37.5108571,1.169,0.048,45.12,13.498
PGC013535,55.179147,-6.4151264,1.257,0.49,6.87,14.773
NGC1415,55.2368745,-22.5644382,1.573,0.393,141.19,12.653
NGC1414,55.2381585,-21.7138272,1.232,0.673,170.18,14.668
NGC1416,55.2619995,-22.7191667,1.176,0.173,171.81,14.179
ESO358-050,55.2650835,-33.7793779,1.213,0.419,169.85,13.757
NGC1410,55.2944955,-1.298664,1.07,0.28,99,14.502
ESO031-020,55.296063,-77.1362639,1.096,0.288,173.13,14.89
ESO482-035,55.3108725,-23.8388344,1.289,0.185,8.85,13.748
ESO548-075,55.344333,-17.7574722,1.173,0.101,47.56,14.103
NGC1422,55.3794885,-21.6814855,1.399,0.614,63.32,14.048
ESO548-076,55.3825635,-19.9051318,1.067,0.135,17.03,14.544
ESO358-051,55.385862,-34.8883643,1.154,0.332,2.26,14.117
UGC02818,55.4349225,39.3373088,1.005,0.151,143,14.448
IC0346,55.4360835,-18.2670556,1.29,0.124,68.93,13.635
UGC02829,55.4619285,8.1598267,1.027,0.526,163,14.944
IC1989,55.4777505,-50.9578333,1.138,0.255,131.52,14.61
ESO548-079,55.4836665,-18.8951896,1.107,0.086,167.58,14.433
NGC1417,55.4892495,-4.7048517,1.401,0.272,1.28,12.809
