# $Id$
# $Rev$
# $LastChangedBy$
# $LastChangedDate$
#
# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    (bt <= 15.5 and objtype='G' and logd25 between 1.0 and 2.5) 
# OR (objname in ('PGC008328', 'PGC008340', 'PGC008330'))
#
# Display the fields:              objname as NAME,al2000*15 as ra,de2000 as dec, logd25, logr25, pa, bt
# Order by:                        al2000
# Description of each column
# objname as NAME: ----- Object name
# al2000*15 as ra: ----- Right ascension (deg)
# de2000 as dec: ------- Declination (deg)
#  logd25: ------------- Log10 diameter (0.1 arcmin) at mu=25 mag/asec^2
#  logr25: ------------- Log10 major-minor axis ratio
#  pa: ----------------- Position Angle
#  bt: ----------------- Total B-band magnitude
#-----,---,----,-------,-------,---,---
# name, ra, dec, logd25, logr25, pa, bt
#-----,---,----,-------,-------,---,---
ESO193-025,1.7082675,-52.2014415,1.05,0.358,7,15.449
ESO193-026,1.7195835,-50.4150833,1.104,0.176,83.98,14.28
NGC7838,1.725036,8.3507566,1.115,0.358,93,15.18
PGC000546,1.7924865,-44.3688656,1.059,0.187,9.5,14.75
ESO538-022,1.7927805,-21.7864695,1.199,0.709,159.02,15.229
NGC0001,1.816083,27.7079306,1.195,0.164,112.39,13.694
NGC0003,1.8199995,8.3016111,1.007,0.239,112,14.264
NGC7831,1.831218,32.609178,1.255,0.669,40.14,13.303
PGC000571,1.836666,-28.1186667,1.212,0.265,154.1,15.206
UGC00061,1.849125,47.0406944,1.141,0.134,144.27,14.289
PGC000575,1.852416,46.98875,1.08,0.138,120,15.15
ESO293-038,1.8581955,-37.4502213,1.018,0.441,177.88,15.386
UGC00066,2.028291,9.7176944,1.065,0.247,82.75,14.837
UGC00069,2.0455215,27.5278194,1.036,0.19,43.59,14.642
UGC00067,2.0614365,7.7801572,1.137,0.446,24,15.324
ESO111-014,2.078127,-59.5156044,1.205,0.257,161.08,14.41
NGC0007,2.0869995,-29.9152222,1.392,0.669,24.25,14.347
PGC000635,2.1428325,-10.9493122,1.002,0.018,,14.82
NGC0010,2.144121,-33.857792,1.371,0.265,29.46,13.272
PGC000637,2.1490875,-5.2167691,1.037,0.34,161.76,15.235
NGC0011,2.177097,37.4478369,1.158,0.812,110.5,14.443
NGC0012,2.1864585,4.6125278,1.181,0.1,127.23,13.836
NGC0014,2.192766,15.8165794,1.184,0.18,23.12,13.022
NGC0013,2.1988095,33.4333815,1.358,0.581,53.75,14.084
